,Unnamed: 0,Sr_No,FIR_No,IPC,Date_of_offence,Date_of_FIR,Police_station,Day,Time_of_offence,First_vehicle,Fatalities,Serious,Minor,Second_vehicle,Fatalities_1,Serious_1,Minor_1,Type_of_collision,Hit_and_run,Intersection_mid_block,Maneuver_type,Place_of_occurence,Total_Fatalities,Total_serious,Total_minor,Latitude,Longitude,Road_name,Road_number,Rural_urban,geo,avg_registration_time
0,0,1,3,"283,304-A,427,337 ",01/02/2017,2017-01-02,Kiratpur Sahib,1900-01-02,12:45:00,Bus/Truck,0,0,0,Car/Jeep/Van,2,2,0,Hit from Back,0,Intersection,Rough Driving,Bharatgarh,2,2,0,31.098746999999996,76.613475,NH,NH-205,Rural,"31.098747,76.613475",0
1,1,2,4,"279,304-A",01/06/2017,2017-01-07,Kiratpur Sahib,1900-01-06,00:00:00,Unknown,0,0,0,Pedestrian,1,0,0,Hit and Run,1,Mid Block,Over Speeding,Dolowal,1,0,0,31.184410200000002,76.572122,NH,NH-205,Rural,"31.1844102,76.572122",1
2,2,3,8,"279,304-A,427",01/20/2017,2017-01-21,Kiratpur Sahib,1900-01-06,20:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,2,0,0,Hit and Run,1,Intersection,Over Speeding,Sarsa Nangal,2,0,0,31.061885999999998,76.59979399999999,NH,NH-205,Rural,"31.061886,76.599794",1
3,3,4,11,"279,304-A",01/20/2017,2017-01-22,Kiratpur Sahib,1900-01-06,11:00:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Head On,0,Mid Block,Over Speeding,Hardonimoh,1,0,0,31.160744,76.590448,Link Road,Link Road,Rural,"31.160744,76.590448",2
4,4,5,18,"279,304-A,427",02/01/2017,2017-02-03,Kiratpur Sahib,1900-01-04,19:40:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit from Back,0,Mid Block,Over Speeding,Dolowal,1,0,0,31.184410200000002,76.572122,NH,NH-205,Urban,"31.1844102,76.572122",2
5,5,6,25,"279,304-A,427",02/23/2017,2017-02-23,Kiratpur Sahib,1900-01-05,15:00:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head On,0,Intersection,Over Speeding,Sarsa Nangal,1,0,0,31.061885999999998,76.59979399999999,NH,NH-205,Rural,"31.061886,76.599794",0
6,6,7,27,"279,304-A,427",03/05/2017,2017-03-06,Kiratpur Sahib,1900-01-01,20:30:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Hit and Run,1,Mid Block,Over Speeding,Tirak Karma,1,0,0,31.147478999999997,76.570173,Link Road,Link Road,Rural,"31.147479,76.570173",1
7,7,8,29,"279,304-A,427",03/02/2017,2017-03-08,Kiratpur Sahib,1900-01-05,04:45:00,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Head On,0,Mid Block,Over Speeding,Kalyanpur,1,0,0,31.170282699999998,76.57139959999999,NH,NH-205,Rural,"31.1702827,76.5713996",6
8,8,9,30,"279,304-A",03/12/2017,2017-03-13,Kiratpur Sahib,1900-01-01,19:00:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Head On,0,Mid Block,Over Speeding,Massewal,1,0,0,31.206899300000003,76.6081615,NH,NH-205,Rural,"31.2068993,76.6081615",1
9,9,10,34,"279,337,304-A,427",03/27/2017,2017-03-28,Kiratpur Sahib,1900-01-02,18:30:00,Bus/Truck,0,0,0,Two Wheeler,1,1,0,Head On,0,Mid Block,Over Speeding,Dehni,1,1,0,31.2057203,76.60279024,NH,NH-205,Rural,"31.2057203,76.60279024",1
10,10,11,43,"283,304-A,427",04/21/2017,2017-04-21,Kiratpur Sahib,1900-01-06,20:15:00,Two Wheeler,1,0,0,Two Wheeler,1,1,0,Head On,0,Intersection,Over Speeding,Bharatgarh,2,1,0,31.098746999999996,76.613475,NH,NH-205,Rural,"31.098747,76.613475",0
11,11,12,45,"279 ,337,427",04/25/2017,2017-04-28,Kiratpur Sahib,1900-01-03,17:45:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Head On,1,Intersection,Over Speeding,sarai hotal Bharatgarh,0,1,0,31.098746999999996,76.613475,NH,NH-205,Rural,"31.098747,76.613475",3
12,12,13,52,"279, 337",04/01/2017,2017-05-21,Kiratpur Sahib,1900-01-07,16:00:00,Car/Jeep/Van,0,1,0,Pedestrian,0,1,0,Hit from Side,0,Mid Block,Over Speeding,bara pind,0,2,0,31.1048637,76.60413129999999,NH,NH-205,Rural,"31.1048637,76.6041313",50
13,13,14,56,"279, 337, 338",05/24/2017,2017-05-26,Kiratpur Sahib,1900-01-04,06:30:00,Bus/Truck,0,0,0,Pedestrian,0,1,0,Head On,0,Intersection,Over Speeding,Kiratpur sahib ,0,1,0,31.187005699999997,76.56489559999999,SH,SH-22,Urban,"31.1870057,76.5648956",2
14,14,15,57,"279 ,337,427",05/26/2017,2017-05-28,Kiratpur Sahib,1900-01-06,00:00:00,Bus/Truck,0,0,0,Two Wheeler,0,1,0,Hit from Back,1,Mid Block,Over Speeding,sarai hotal Bharatgarh,0,1,0,31.0865387,76.6059989,NH,NH-205,Rural,"31.0865387,76.6059989",2
15,15,16,75,"279 ,337,427",07/28/2017,2017-07-28,Kiratpur Sahib,1900-01-06,00:00:00,Bus/Truck,0,0,0,Car/Jeep/Van,0,0,0,Hit from Back,1,Mid Block,Over Speeding,Dubeta morh Bhartgarh ,0,0,0,31.0883283,76.6069211,NH,NH-205,Rural,"31.0883283,76.6069211",0
16,16,17,77,"279 ,337,338",08/04/2017,2017-08-07,Kiratpur Sahib,1900-01-06,09:00:00,Two Wheeler,0,0,0,Pedestrian,0,1,0,Hit and Run,1,Intersection,Over Speeding,bus stand kiratpur sahib ,0,1,0,31.187005699999997,76.56489559999999,SH,SH-22,Urban,"31.1870057,76.5648956",3
17,17,18,78,"279 ,304-A ,427 ",08/12/2017,2017-08-12,Kiratpur Sahib,1900-01-07,19:30:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit and Run,1,Intersection,Over Speeding,bus stand kiratpur sahib ,1,0,0,31.187005699999997,76.56489559999999,SH,SH-22,Urban,"31.1870057,76.5648956",0
18,18,19,79,"279 ,337,427",08/06/2017,2017-08-15,Kiratpur Sahib,1900-01-01,05:40:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Hit and Run,1,Intersection,Over Speeding,Sarsa Nangal,0,1,0,31.0618855,76.59979399999999,NH,NH-205,Rural,"31.0618855,76.599794",9
19,19,20,81,"279 ,304-A ,337 ,427",08/20/2017,2017-08-21,Kiratpur Sahib,1900-01-01,16:30:00,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Hit and Run,1,Mid Block,Over Speeding,bara pind,1,0,1,31.1048637,76.60413129999999,NH,NH-205,Rural,"31.1048637,76.6041313",1
20,20,21,82,"279 ,304-A  ,427",08/22/2017,2017-08-26,Kiratpur Sahib,1900-01-03,09:30:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit and Run,1,Mid Block,Over Speeding,dehni,1,0,0,31.2057203,76.60279024,NH,NH-205,Rural,"31.2057203,76.60279024",4
21,21,22,87,"279 ,304-A ,337,427",08/30/2017,2017-08-30,Kiratpur Sahib,1900-01-04,12:00:00,Bus/Truck,0,0,0,Two Wheeler,1,1,0,Hit and Run,1,Mid Block,Over Speeding,Bharatgarh,1,1,0,31.103574300000002,76.6039256,NH,NH-205,Rural,"31.1035743,76.6039256",0
22,22,23,88,"279,304-A,",08/31/2017,2017-09-01,Kiratpur Sahib,1900-01-05,19:45:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit and Run,1,Mid Block,Over Speeding,Bharatgarh,1,0,0,31.103574300000002,76.6039256,NH,NH-205,Rural,"31.1035743,76.6039256",1
23,23,24,90,"283,304-A,427",09/08/2017,2017-09-09,Kiratpur Sahib,1900-01-06,23:40:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head On,0,Mid Block,Over Speeding,Dhaddi,1,0,0,31.1517994,76.57945600000001,NH,NH-205,Rural,"31.1517994,76.579456",1
24,24,25,117,"279,304-A,337,427",12/03/2017,2017-12-05,Kiratpur Sahib,1900-01-01,12:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,1,Hit from Back,1,Mid Block,Over Speeding,Gardla,1,0,1,31.121480199999997,76.5773255,Link Road,Link Road,Rural,"31.1214802,76.5773255",2
25,25,26,119,"279, 304-A",12/06/2017,2017-12-06,Kiratpur Sahib,1900-01-04,10:00:00,Bus/Truck,0,0,0,Pedestrian,1,0,1,Hit and Run,1,Mid Block,Over Speeding,Dubeta morh Bhartgarh ,1,0,1,31.0883283,76.6069211,NH,NH-205,Rural,"31.0883283,76.6069211",0
26,26,27,12,279337338,01/27/2017,2017-01-27,Chamkaur Sahib,1900-01-06,18:15:00,Two Wheeler,0,0,0,Pedestrian,0,1,0,Hit Pedestrian,0,Intersection,Over Speeding,Near T Point Vill Chonta ,0,1,0,30.942350800000003,76.4895865,ODR,ODR-11,Rural,"30.9423508,76.4895865",0
27,27,28,24,"279,304-A,427",02/03/2017,2017-02-03,Chamkaur Sahib,1900-01-06,21:15:00,Bus/Truck,0,0,0,Two Wheeler,2,0,0,Head on,0,Intersection,Over Speeding,Near Canel Vill Bhakumajra,2,0,0,30.929455400000002,76.472594,ODR,ODR-11,Rural,"30.9294554,76.472594",0
28,28,29,27,"279,304-A,337",03/11/2017,2017-03-12,Chamkaur Sahib,1900-01-07,18:30:00,Unknown,0,0,0,Two Wheeler,2,0,0,Unknown,1,Intersection,Over Speeding,sirhind canal near vill Bhakumajra ,2,0,0,30.901885800000002,76.43768929999999,ODR,ODR-18,Rural,"30.9018858,76.4376893",1
29,29,30,30,"279, 337, 338, 427",03/12/2017,2017-03-14,Chamkaur Sahib,1900-01-01,13:30:00,Bus/Truck,0,0,0,Two Wheeler,0,1,1,Head on,1,Mid Block,Over Speeding,Near Vill Pipal majra ,0,1,1,30.8639651,76.4300016,Link Road,Link Road,Rural,"30.8639651,76.4300016",2
30,30,31,34,"279,337,304-A,427",03/26/2017,2017-03-26,Chamkaur Sahib,1900-01-01,17:00:00,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Head on,0,Intersection,Over Speeding,Near T Point Vill Chonta ,1,0,1,30.932131899999995,76.4410757,ODR,ODR-11,Rural,"30.9321319,76.4410757",0
31,31,32,40,"279, 304-A ,427",04/08/2017,2017-04-09,Chamkaur Sahib,1900-01-07,22:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,2,0,0,Unknown,0,Intersection,Over Speeding,Shirhind calal near kiriafgana ,2,0,0,30.9023889,76.3613235,Link Road,Link Road,Rural,"30.9023889,76.3613235",1
32,32,33,42,"279,304-A,427",04/13/2017,2017-04-14,Chamkaur Sahib,1900-01-05,20:00:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Head on,0,Mid Block,Over Speeding,Vil Rurki heraon,1,0,0,30.845617800000003,76.4314558,ODR,ODR-2,Rural,"30.8456178,76.4314558",1
33,33,34,43,"279,304a,427",04/20/2017,2017-04-21,Chamkaur Sahib,1900-01-05,20:00:00,Tractor-Trolley,0,0,0,Two Wheeler,1,0,0,Head on,0,Mid Block,Over Speeding,"Railon road,Ropar",1,0,0,30.9324228,76.3512468,Link Road,Link Road,Rural,"30.9324228,76.3512468",1
34,34,35,74,"279,337,304a,427",07/07/2017,2017-07-08,Chamkaur Sahib,1900-01-06,21:45:00,Bus/Truck,0,0,0,Two Wheeler,2,0,0,Hit from back,1,Mid Block,Over Speeding,Sirhind canal near chamkaur sahib rest house ,2,0,0,30.897802399999996,76.3963902,Link Road,Link Road,Rural,"30.8978024,76.3963902",1
35,35,36,78,279337388,07/15/2017,2017-07-23,Chamkaur Sahib,1900-01-07,14:30:00,Two Wheeler,0,0,0,Pedestrian,0,1,0,Hit from back,0,Intersection,Over Speeding,vill tapprianamar singh ,0,1,0,30.9347683,76.32928249999999,Link Road,Link Road,Rural,"30.9347683,76.3292825",8
36,36,37,113,"279,427,304-A",10/28/2017,2017-10-29,Chamkaur Sahib,1900-01-07,19:25:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,1,0,Head on,0,Mid Block,Over Speeding,near vill gagon,1,1,0,30.8899325,76.45106659999999,Link Road,Link Road,Rural,"30.8899325,76.4510666",1
37,37,38,115,279388,10/24/2017,2017-11-01,Chamkaur Sahib,1900-01-03,21:00:00,Two Wheeler,0,0,0,Two Wheeler,0,1,0,Head on,0,Intersection,Over Speeding,near Vill mane majra ,0,1,0,30.8915604,76.4145124,ODR,ODR-2,Urban,"30.8915604,76.4145124",8
38,38,39,4,279337338,12/01/2017,2018-01-07,Chamkaur Sahib,1900-01-06,19:30:00,Bus/Truck,0,0,0,Two Wheeler,0,0,0,Head on,0,Intersection,Over Speeding,near vill Mahla ,0,0,0,30.932716999999997,76.472598,ODR,ODR-11,Rural,"30.932717,76.472598",37
39,39,40,8,"279, 337, 338, 427",10/28/2017,2018-01-11,Chamkaur Sahib,1900-01-07,15:20:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,1,Head on,0,Intersection,Over Speeding,sirhind canal vill Dholran,0,1,1,30.903119899999997,76.4760063,Link Road,Link Road,Rural,"30.9031199,76.4760063",75
40,40,41,9,"279, 337, 338, 427",01/07/2017,2017-01-10,City Ropar,1900-01-07,12:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,0,1,Head on,0,Mid Block,Over Speeding,"Near PWD Colony,Ropar ",0,0,1,30.969279999999998,76.522234,ODR,ODR-11,Urban,"30.96928,76.522234",3
41,41,42,19,"279, 338",01/25/2017,2017-01-28,City Ropar,1900-01-04,21:00:00,Car/Jeep/Van,0,0,0,Pedestrian,0,0,1,Head on,0,Intersection,Over Speeding,"Civil Hospital ,Road Ropar ",0,0,1,30.965586,76.524186,ODR,ODR-11,Urban,"30.965586,76.524186",3
42,42,43,24,"279, 304-A ,427",02/11/2017,2017-02-11,City Ropar,1900-01-07,15:30:00,Unknown,0,0,0,Cyclist,1,0,1,Hit Cyclist,1,Intersection,Over Speeding,"Taprian T Point ,Ropar ",1,0,1,30.953585999999998,76.529409,ODR,ODR-22,Urban,"30.953586,76.529409",0
43,43,44,40,"279, 337, 427",03/11/2017,2017-03-14,City Ropar,1900-01-07,20:10:00,Tractor-Trolley,0,0,0,Car/Jeep/Van,0,0,1,Head on,0,Intersection,Over Speeding,"Bachat Chowk, Ropar",0,0,1,30.977909000000004,76.520266,ODR,ODR-11,Urban,"30.977909,76.520266",3
44,44,45,57,"279, 304-A ",03/28/2017,2017-04-02,City Ropar,1900-01-03,16:30:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,"Railon road,Ropar",1,0,0,30.947276000000002,76.518252,ODR,ODR-20,Urban,"30.947276, ,76.518252",5
45,45,46,61,"279, 304-A ,427",04/11/2017,2017-04-12,City Ropar,1900-01-03,23:15:00,Tractor-Trolley,0,0,0,Two Wheeler,1,0,0,Head on,0,Intersection,Over Speeding,"Near Miltray canteen,Ropar",1,0,0,30.963472999999997,76.532531,NH,NH-103A,Urban,"30.963473, ,76.532531",1
46,46,47,64,"279, 337, 427",04/12/2017,2017-04-13,City Ropar,1900-01-04,16:40:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Head on,1,Mid Block,Over Speeding,"Gilco velley,Ropar",0,1,0,30.964476,76.57452559999999,Link Road,Link Road,Rural,"30.964476,76.5745256",1
47,47,48,72,"279, 338, 427",04/11/2017,2017-04-28,City Ropar,1900-01-03,19:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Hit from back,0,Intersection,Over Speeding,Near HMT Hotel Bela Road Ropar,0,1,0,30.957915000000003,76.515149,ODR,ODR-11,Urban,"30.957915,76.515149",17
48,48,49,73,"279, 304-A ,427",04/23/2017,2017-04-29,City Ropar,1900-01-01,15:45:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Head on,0,Intersection,Over Speeding,"Near Police line ,Ropar",1,0,0,30.940548,76.535527,NH,NH-205,Urban,"30.940548,76.535527",6
49,49,50,80,"279, 337, 338, 427",05/13/2017,2017-05-13,City Ropar,1900-01-07,02:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,0,1,Head on,0,Intersection,Over Speeding,"Near Distict Jail ,Ropar",0,0,1,30.953127000000002,76.507989,ODR,ODR-11,Urban,"30.953127,76.507989",0
50,50,51,81,"279, 304-A ,427",05/13/2017,2017-05-13,City Ropar,1900-01-07,19:40:00,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Head on,0,Intersection,Over Speeding,"Near Gurdwara sadawart,Ropar ",1,0,1,30.97697,76.535184,NH,NH-205,Urban,"30.97697,76.535184",0
51,51,52,82,"279, 337, 427 ",05/09/2017,2017-05-15,City Ropar,1900-01-03,14:00:00,Two Wheeler,0,0,0,Two Wheeler,0,0,1,Head on,0,Intersection,Over Speeding,"Near sai doctor ,College Road ropar",0,0,1,30.97212,76.519938,Muncipality Road,Muncipality Road,Urban,"30.972120,,76.519938",6
52,52,53,84,"279, 304-A ",05/22/2017,2017-05-22,City Ropar,1900-01-02,11:20:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,Vill railon Kalan Ropar,1,0,0,30.947276000000002,76.518252,ODR,ODR-20,Urban,"30.947276, ,76.518252",0
53,53,54,86,"279, 338, 427",04/18/2017,2017-05-24,City Ropar,1900-01-03,19:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,0,1,Sideswipe ,0,Intersection,Over Speeding,Near Govt. college Ropar,0,0,1,30.973622,76.52116099999999,ODR,ODR-11,Urban,"30.973622,,76.521161",36
54,54,55,88,"279, 427",05/31/2017,2017-06-01,City Ropar,1900-01-04,23:00:00,Bus/Truck,0,0,0,Other,0,0,0,Hit Fixed Object,0,Intersection,Over Speeding,"Nangal Chownk Pump,ropar",0,0,0,30.962365999999996,76.533056,NH,NH-103A,Urban,"30.962366,,76.533056",1
55,55,56,89,"279,304-A,427",06/02/2017,2017-06-02,City Ropar,1900-01-06,19:00:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Head on,0,Intersection,Over Speeding,"Near New Bridge ,Ropar",1,0,0,30.971887,76.531537,Muncipality Road,Muncipality Road,Urban,"30.971887,76.531537",0
56,56,57,95,"279, 304-A ",06/05/2017,2017-06-12,City Ropar,1900-01-02,08:30:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,"New Bus/Truck stand,Ropar",1,0,0,30.982346999999997,76.522878,NH,NH-103A,Urban,"30.982347, ,76.522878",7
57,57,58,96,"279, 337, 338, 427",06/10/2017,2017-06-12,City Ropar,1900-01-07,14:40:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,0,1,Head on,0,Intersection,Over Speeding,"Near new byepass ,Ropar",0,0,1,30.947276000000002,76.518252,ODR,ODR-20,Urban,"30.947276, ,76.518252",2
58,58,59,107,"279, 304-A, 427",06/27/2017,2017-06-27,City Ropar,1900-01-03,19:00:00,Unknown,0,0,0,Car/Jeep/Van,2,0,0,Sideswipe ,1,Mid Block,Over Speeding,"Morinda chownk,Byepass Ropar",2,0,0,30.964384999999996,76.53471400000001,Link Road,Link Road,Rural,"30.964385,, 76.534714",0
59,59,60,110,"279, 337, 427",06/13/2017,2017-06-30,City Ropar,1900-01-03,22:00:00,Car/Jeep/Van,0,0,0,Other,0,1,0,Sideswipe ,0,Intersection,Over Speeding,"Near Forest Dept  Office, Ropar ",0,1,0,30.978541999999997,76.52678399999999,Muncipality Road,Muncipality Road,Urban,"30.978542,76.526784",17
60,60,61,115,"279, 304-A",06/29/2017,2017-07-10,City Ropar,1900-01-05,20:00:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,0,Intersection,Over Speeding,"Nera Miltary canteen ,Ropar ",1,0,0,30.963472999999997,76.532531,NH,NH-103A,Urban,"30.963473,76.532531",11
61,61,62,121,"279, 304-A, 427",07/15/2017,2017-07-15,City Ropar,1900-01-07,11:00:00,Unknown,0,0,0,Two Wheeler,1,0,0,Head on,1,Intersection,Over Speeding,"Near IIT river bridge, Ropar",1,0,0,30.974788,76.49895500000001,ODR,ODR-20,Urban,"30.974788,76.498955",0
62,62,63,148,"279, 304-A",08/24/2017,2017-09-06,City Ropar,1900-01-05,07:00:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Intersection,Over Speeding,Near railway station Ropar,1,0,0,30.971961999999998,76.532885,NH,NH-103A,Urban,"30.971962,76.532885",13
63,63,64,169,"279, 304-A, 337",10/07/2017,2017-10-08,City Ropar,1900-01-07,20:00:00,Unknown,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Intersection,Over Speeding,Near T-Point DC office Ropar,1,0,0,30.982118,76.519865,ODR,ODR-11,Urban,"30.982118,76.519865",1
64,64,65,173,"279, 304-A, 427",10/11/2017,2017-10-12,City Ropar,1900-01-04,20:30:00,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Sideswipe ,0,Mid Block,Over Speeding,Ropar Chamkaur Sahib link road Near bhai Himat singh Guruduara Ropar,1,0,0,30.954204999999998,76.52941,ODR,ODR-22,Urban,"30.954205, ,76.52941",1
65,65,66,174,"279, 304-A, 427, 337",10/14/2017,2017-10-14,City Ropar,1900-01-07,08:15:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,1,Intersection,Approaching from wrong side,Near By pass ropar,1,0,0,30.947276000000002,76.518252,ODR,ODR-20,Urban,"30.947276, ,76.518252",0
66,66,67,178,"279, 304-A, 427",10/18/2017,2017-10-19,City Ropar,1900-01-04,20:30:00,Unknown,0,0,0,Two Wheeler,1,0,0,Hit from back,1,Intersection,Over Speeding,Vill Nanakpura turn Rupnagar,1,0,0,30.97696,76.535184,NH,NH-205,Urban,"30.97696,76.535184",1
67,67,68,180,"279, 304-A, 427",10/19/2017,2017-10-20,City Ropar,1900-01-05,13:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from back,0,Intersection,Over Speeding,Near PS Sadar Ropar,1,0,0,30.97695,76.535187,NH,NH-205,Urban,"30.97695,76.535187",1
68,68,69,183,"279, 304-A, 427",10/24/2017,2017-10-24,City Ropar,1900-01-03,08:30:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit from back,0,Intersection,Over Speeding,New Shampura colony Rupnagar,1,0,0,30.964594,76.506385,ODR,ODR-20,Urban,"30.964594,76.506385",0
69,69,70,189,"279, 337, 338, 427",10/31/2017,2017-11-02,City Ropar,1900-01-03,18:15:00,Tractor-Trolley,0,0,0,Two Wheeler,0,1,0,Hit from back,1,Mid Block,Over Speeding,Near drug addiction centre katli road Rupnagar,0,1,0,30.944632399999996,76.5245254,ODR,ODR-08,Urban,"30.9446324,76.5245254",2
70,70,71,196,"279, 304-A",11/19/2017,2017-11-19,City Ropar,1900-01-01,11:15:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit from back,1,Intersection,Over Speeding,Old bus stand rupnagar,1,0,0,30.966462,76.533348,NH,NH-103A,Urban,"30.966462, ,76.533348",0
71,71,72,203,"279, 304-A ",11/24/2017,2017-12-01,City Ropar,1900-01-06,09:30:00,Car/Jeep/Van,0,0,0,Pedestrian,1,1,0,Hit from back,1,Intersection,Over Speeding,Near PS Sadar Ropar,1,1,0,30.97695,76.535187,NH,NH-205,Urban,"30.97695,76.535187",7
72,72,73,212,"279, 337, 427 ",12/09/2017,2017-12-10,City Ropar,1900-01-07,14:30:00,Bus/Truck,0,0,0,Car/Jeep/Van,0,1,0,Hit from back,0,Mid Block,Over Speeding,Near 132KV Sub Station rupngar,0,1,0,30.943738,76.53426400000001,NH,NH-205,Urban,"30.943738,76.534264",1
73,73,74,214,"279, 337, 427",12/14/2017,2017-12-15,City Ropar,1900-01-05,18:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Sideswipe ,1,Intersection,Over Speeding,Sant Karan Singh Academy Chowk,0,1,0,30.964468,76.50595200000001,ODR,ODR-20,Urban,"30.964468,76.505952",1
74,74,75,1,"279, 304-A, 337, 427",12/31/2017,2018-01-01,City Ropar,1900-01-01,17:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from back,1,Intersection,Over Speeding,Bhatha sahib chowk rupnagar,1,0,0,30.9681843,76.5235027,ODR,ODR-11,Urban,"30.9681843,76.5235027",1
75,75,76,2,"279, 337, 427, 338 & 177 MV ACT",12/30/2017,2018-01-01,City Ropar,1900-01-07,00:00:00,Two Wheeler,0,0,0,Two Wheeler,0,1,0,Sideswipe ,0,Intersection,Over Speeding,"Near Distict Jail ,Ropar",0,1,0,30.968154,76.5235146,ODR,ODR-11,Urban,"30.968154,76.5235146",2
76,76,77,7,"279,337,338,427,304-A ",01/13/2017,2017-01-15,Morinda,1900-01-06,23:30:00,Car/Jeep/Van,0,0,0,Car/Jeep/Van,1,0,0,Head on,0,Intersection,Approaching from wrong side,T-Ponit Saheri,1,0,0,30.814758,76.502578,ODR,ODR-08,Rural,"30.814758,76.502578",2
77,77,78,9,"279,337,304-A,427 ",01/15/2017,2017-01-18,Morinda,1900-01-01,15:30:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,Near Namdhari Workshop Marouli Kalan,1,0,0,30.786769,76.519188,SH,SH-08,Rural,"30.786769,76.519188",3
78,78,79,30,"279,337,338,427,304-A ",02/20/2017,2017-02-21,Morinda,1900-01-02,20:30:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,0,Intersection,Over Speeding,Near Village Marouli Kalan,1,0,0,30.785866,76.52124599999999,SH,SH-08,Rural,"30.785866,76.521246",1
79,79,80,32,"279, 337, 338, 427",02/22/2017,2017-02-23,Morinda,1900-01-04,18:30:00,Car/Jeep/Van,0,0,0,Two wheeler,0,1,0,Head on,0,Intersection,Over Speeding,Chunni Chownk Morinda,0,1,0,30.775664000000003,76.503127,NH,NH-95,Rural,"30.775664,76.503127",1
80,80,81,35,"279,337,304-A,427 ",02/26/2017,2017-02-26,Morinda,1900-01-01,14:25:00,Bus/Truck,0,0,0,Two wheeler,1,0,0,Head on,1,Intersection,Approaching from wrong side,Sirhind Lights Morinda,1,0,0,30.784421000000002,76.481131,NH,NH-95,Rural,"30.784421,76.481131",0
81,81,82,38,"279, 337, 338, 427",04/03/2017,2017-06-03,Morinda,1900-01-02,15:00:00,Tractor-Trolley,0,0,0,Two wheeler,0,1,0,Head on,1,Intersection,Approaching from wrong side,Near Village Ballan Kalan Road to Udhampur Nalan,0,1,0,30.803365999999997,76.446711,Link Road,Link Road,Rural,"30.803366,76.446711",61
82,82,83,39,"279,304-A ",09/03/2017,2017-09-03,Morinda,1900-01-01,18:50:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,Dhiman Palace,1,0,0,30.790658,76.508403,SH,SH-08,Urban,"30.790658,76.508403",0
83,83,84,44,"279,337,338,427,304-A ",03/22/2017,2017-03-22,Morinda,1900-01-04,18:50:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,0,Intersection,Approaching from wrong side,SUGAR MILL ROAD MORINDA,1,0,0,30.795496999999997,76.49874,ODR,ODR-08,Urban,"30.795497,76.49874",0
84,84,85,45,"279,337,304-A",03/18/2017,2017-03-24,Morinda,1900-01-07,21:00:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,1,Intersection,Approaching from wrong side,MORINDA BY-PASS MORINDA,1,0,0,30.776166999999997,76.501743,NH,NH-95,Rural,"30.776167,76.501743",6
